ANSWER_ID,SEMESTER,SYSTEM_ID,RESPONSE_CATEGORY_ID,ANSWER_TEXT,ERROR_CATEGORY_ID,ERROR_SUBCATEGORY_ID,FEEDBACK
118,2021-2,CONCIERTO_ESTADIO,PURPOSE,Permitir la realización de un concierto para que el público disfrute una presentación musical en un estadio.,OK,OK,
119,2021-2,CONCIERTO_ESTADIO,PURPOSE,Brindar un espacio organizado y seguro para presentar música en vivo a un gran número de asistentes.,OK,OK,
120,2021-2,CONCIERTO_ESTADIO,PURPOSE,"Ofrecer una experiencia de entretenimiento musical, gestionando ingreso, ubicaciones y logística del evento.",OK,OK,
121,2021-2,CONCIERTO_ESTADIO,PURPOSE,"Coordinar un evento musical masivo asegurando sonido, escenario, acceso y control de asistentes.",OK,OK,
122,2021-2,CONCIERTO_ESTADIO,PURPOSE,"Garantizar que el concierto se realice de manera ordenada, segura y disfrutable para el público.",OK,OK,
123,2021-2,CONCIERTO_ESTADIO,PURPOSE,Es un concierto en un estadio.,INSTRUCTIONS,DEFICIENT_RESPONSE,"Describe qué es, pero no el propósito. Explica para qué se organiza y qué busca lograr."
124,2021-2,CONCIERTO_ESTADIO,PURPOSE,Sirve para cantar canciones.,INSTRUCTIONS,DEFICIENT_RESPONSE,Muy general. Indica el objetivo del evento y el beneficio para asistentes/organización.
125,2021-2,CONCIERTO_ESTADIO,PURPOSE,La gente va a ver artistas.,INSTRUCTIONS,DEFICIENT_RESPONSE,Falta explicar el propósito del sistema y qué necesidad satisface.
126,2021-2,CONCIERTO_ESTADIO,PURPOSE,Es para que haya música.,INSTRUCTIONS,DEFICIENT_RESPONSE,Incompleto. Explica finalidad y qué se busca lograr con el evento.
127,2021-2,CONCIERTO_ESTADIO,PURPOSE,Es un evento masivo.,INSTRUCTIONS,DEFICIENT_RESPONSE,No explica propósito. Indica para qué se realiza y qué función cumple.
128,2021-2,CONCIERTO_ESTADIO,PURPOSE,Es importante para divertir.,INSTRUCTIONS,DEFICIENT_RESPONSE,Vago. Redacta un propósito claro y específico.
129,2021-2,CONCIERTO_ESTADIO,INTERACTIONS,"Los asistentes compran boletas, ingresan por los accesos, se ubican en sus puestos y disfrutan la presentación en tarima.",OK,OK,
130,2021-2,CONCIERTO_ESTADIO,INTERACTIONS,"El público pasa controles de entrada, entra al estadio, sigue señalización, se ubica y escucha el concierto.",OK,OK,
131,2021-2,CONCIERTO_ESTADIO,INTERACTIONS,"Los organizadores habilitan accesos, el público entra, se ubica y el artista se presenta con apoyo de sonido e iluminación.",OK,OK,
132,2021-2,CONCIERTO_ESTADIO,INTERACTIONS,"El usuario muestra su boleta, pasa el control, entra, busca su zona y permanece durante la presentación.",OK,OK,
133,2021-2,CONCIERTO_ESTADIO,INTERACTIONS,La gente entra y ve el concierto.,INSTRUCTIONS,DEFICIENT_RESPONSE,"Muy general. Describe acciones concretas: compra, ingreso, control, ubicación, salida."
134,2021-2,CONCIERTO_ESTADIO,INTERACTIONS,Se hace un concierto.,INSTRUCTIONS,DEFICIENT_RESPONSE,"No explica interacción. Indica cómo participan asistentes, accesos, boletas y presentación."
135,2021-2,CONCIERTO_ESTADIO,INTERACTIONS,Las personas escuchan música.,INSTRUCTIONS,DEFICIENT_RESPONSE,Falta describir el proceso del evento y cómo interactúan con el sistema.
136,2021-2,CONCIERTO_ESTADIO,INTERACTIONS,Los asistentes llegan y ya.,INSTRUCTIONS,DEFICIENT_RESPONSE,"Incompleto. Describe el flujo de entrada, ubicación y participación en el concierto."
137,2021-2,CONCIERTO_ESTADIO,INTERACTIONS,Todo funciona con el artista.,INSTRUCTIONS,DEFICIENT_RESPONSE,No describe interacciones ni componentes involucrados en el evento.
138,2021-2,DOMINO,PURPOSE,Permitir el entretenimiento de los jugadores mediante un juego de fichas con reglas definidas.,OK,OK,
139,2021-2,DOMINO,PURPOSE,Ofrecer un juego de mesa donde los jugadores compiten colocando fichas según coincidencias numéricas.,OK,OK,
140,2021-2,DOMINO,PURPOSE,Brindar una actividad recreativa en la que se usan fichas para jugar por turnos siguiendo reglas.,OK,OK,
141,2021-2,DOMINO,PURPOSE,Facilitar un juego de estrategia ligera donde se gana al quedarse sin fichas primero.,OK,OK,
142,2021-2,DOMINO,PURPOSE,Permitir una dinámica de juego por turnos donde se conectan fichas compatibles para avanzar.,OK,OK,
143,2021-2,DOMINO,PURPOSE,Ofrecer entretenimiento y competencia mediante la colocación de fichas según el valor de sus extremos.,OK,OK,
144,2021-2,DOMINO,PURPOSE,Proporcionar un juego de fichas para que varios jugadores participen y sigan reglas de colocación.,OK,OK,
145,2021-2,DOMINO,PURPOSE,Es un juego de mesa.,INSTRUCTIONS,DEFICIENT_RESPONSE,Solo lo describe. Explica el propósito: entretener mediante fichas y reglas.
146,2021-2,DOMINO,PURPOSE,Sirve para jugar.,INSTRUCTIONS,DEFICIENT_RESPONSE,Muy general. Explica qué se busca lograr y cómo se usa el sistema.
147,2021-2,DOMINO,PURPOSE,Es para pasar el rato.,INSTRUCTIONS,DEFICIENT_RESPONSE,Vago. Redacta un propósito claro del juego.
148,2021-2,DOMINO,PURPOSE,Se trata de fichas.,INSTRUCTIONS,DEFICIENT_RESPONSE,No explica finalidad. Indica el propósito del sistema y el objetivo del juego.
149,2021-2,DOMINO,PURPOSE,Es un entretenimiento.,INSTRUCTIONS,DEFICIENT_RESPONSE,Incompleto. Explica en qué consiste el propósito del juego.
150,2021-2,DOMINO,PURPOSE,Es un juego de números.,INSTRUCTIONS,DEFICIENT_RESPONSE,Ambiguo. Explica para qué sirve y qué hacen los jugadores.
151,2021-2,DOMINO,INTERACTIONS,"Los jugadores mezclan fichas, reparten, colocan una ficha por turno que coincida con los extremos y toman del pozo si no pueden jugar.",OK,OK,
152,2021-2,DOMINO,INTERACTIONS,"Cada jugador en su turno pone una ficha compatible; si no tiene, roba una ficha y continúa hasta terminar fichas o bloquearse.",OK,OK,
153,2021-2,DOMINO,INTERACTIONS,"Los jugadores toman fichas, inician con una ficha, luego conectan fichas por coincidencia y siguen turnos hasta que alguien gane.",OK,OK,
154,2021-2,DOMINO,INTERACTIONS,"En cada turno un jugador coloca una ficha que haga match con el extremo disponible; si no puede, toma una del pozo.",OK,OK,
155,2021-2,DOMINO,INTERACTIONS,Los jugadores juegan por turnos colocando fichas según las reglas y contando puntos al finalizar.,OK,OK,
156,2021-2,DOMINO,INTERACTIONS,"Se barajan fichas, se reparten y los jugadores van colocando fichas que coincidan hasta que uno se quede sin fichas.",OK,OK,
157,2021-2,DOMINO,INTERACTIONS,Los jugadores juegan.,INSTRUCTIONS,DEFICIENT_RESPONSE,"Muy general. Describe el flujo: repartir, turnos, colocar fichas, robar, ganar."
158,2021-2,DOMINO,INTERACTIONS,Se ponen fichas.,INSTRUCTIONS,DEFICIENT_RESPONSE,"Incompleto. Explica cómo se colocan, en qué orden y bajo qué reglas."
159,2021-2,DOMINO,INTERACTIONS,La gente se entretiene.,INSTRUCTIONS,DEFICIENT_RESPONSE,No describe interacciones. Indica acciones concretas con fichas y turnos.
160,2021-2,DOMINO,INTERACTIONS,Se juega con números.,INSTRUCTIONS,DEFICIENT_RESPONSE,Vago. Describe el proceso del juego y la interacción con fichas.
161,2021-2,DOMINO,INTERACTIONS,Los jugadores ganan.,INSTRUCTIONS,DEFICIENT_RESPONSE,No explica cómo se llega a ganar ni qué acciones ocurren durante el juego.
162,2021-2,DOMINO,INTERACTIONS,El juego funciona por turnos.,INSTRUCTIONS,DEFICIENT_RESPONSE,Falta describir qué hace un jugador en su turno y cómo usa las fichas.
163,2021-2,PARQUES,PURPOSE,"Brindar un espacio para la recreación, el descanso y actividades al aire libre para la comunidad.",OK,OK,
164,2021-2,PARQUES,PURPOSE,Permitir que las personas se relajen y realicen actividades recreativas en un entorno abierto y seguro.,OK,OK,
165,2021-2,PARQUES,PURPOSE,"Ofrecer zonas verdes y espacios de uso público para recreación, caminatas y esparcimiento.",OK,OK,
166,2021-2,PARQUES,PURPOSE,Promover el bienestar proporcionando un lugar para actividades recreativas y descanso.,OK,OK,
167,2021-2,PARQUES,PURPOSE,Servir como lugar de encuentro y recreación para personas de todas las edades.,OK,OK,
168,2021-2,PARQUES,PURPOSE,Es un lugar al aire libre.,INSTRUCTIONS,DEFICIENT_RESPONSE,"Describe el lugar, no el propósito. Explica para qué sirve el parque para las personas."
169,2021-2,PARQUES,PURPOSE,Tiene árboles y zonas verdes.,INSTRUCTIONS,DEFICIENT_RESPONSE,"Enumera características, pero no el propósito. Indica la finalidad del sistema."
170,2021-2,PARQUES,PURPOSE,Es un sitio público.,INSTRUCTIONS,DEFICIENT_RESPONSE,"Vago. Describe el propósito: recreación, descanso, actividades."
171,2021-2,PARQUES,INTERACTIONS,"Las personas usan senderos para caminar, utilizan zonas de juego y hacen uso de bancas y espacios para descansar.",OK,OK,
172,2021-2,PARQUES,INTERACTIONS,"Los visitantes entran al parque, recorren caminos, usan juegos o canchas y descansan en áreas verdes.",OK,OK,
173,2021-2,PARQUES,INTERACTIONS,"Las personas llegan, utilizan los espacios recreativos (juegos/canchas) y luego se retiran.",OK,OK,
174,2021-2,PARQUES,INTERACTIONS,"Los usuarios interactúan usando juegos, canchas y zonas verdes para actividades de recreación y descanso.",OK,OK,
175,2021-2,PARQUES,INTERACTIONS,La gente visita el parque.,INSTRUCTIONS,DEFICIENT_RESPONSE,"Muy general. Describe cómo usan los espacios: senderos, juegos, canchas, bancas."
176,2021-2,PARQUES,INTERACTIONS,Las personas van a pasear.,INSTRUCTIONS,DEFICIENT_RESPONSE,Incompleto. Explica acciones concretas y uso de elementos del sistema.
177,2021-2,PARQUES,INTERACTIONS,Se usa para recrearse.,INSTRUCTIONS,DEFICIENT_RESPONSE,No describe interacciones específicas con componentes/espacios del parque.
178,2021-2,PARQUES,INTERACTIONS,Los usuarios se divierten.,INSTRUCTIONS,DEFICIENT_RESPONSE,Vago. Describe actividades y cómo usan las áreas del parque.
179,2021-2,PUNTO_COVID,PURPOSE,Realizar pruebas o controles de salud para detectar casos y ayudar a prevenir contagios en la comunidad.,OK,OK,
180,2021-2,PUNTO_COVID,PURPOSE,"Brindar atención y evaluación relacionada con COVID, registrando y gestionando resultados de pruebas.",OK,OK,
181,2021-2,PUNTO_COVID,PURPOSE,Facilitar el diagnóstico y control de casos mediante toma de muestras y entrega de resultados.,OK,OK,
182,2021-2,PUNTO_COVID,PURPOSE,Apoyar la prevención al identificar posibles contagios y orientar a las personas según resultados.,OK,OK,
183,2021-2,PUNTO_COVID,PURPOSE,Permitir la atención organizada de personas para pruebas y seguimiento de COVID.,OK,OK,
184,2021-2,PUNTO_COVID,PURPOSE,Garantizar un proceso ordenado para realizar pruebas y registrar datos de las personas atendidas.,OK,OK,
185,2021-2,PUNTO_COVID,PURPOSE,Es un lugar de salud.,INSTRUCTIONS,DEFICIENT_RESPONSE,"Vago. Explica la finalidad: pruebas, detección, registro y prevención de contagios."
186,2021-2,PUNTO_COVID,PURPOSE,Sirve para atender gente.,INSTRUCTIONS,DEFICIENT_RESPONSE,No es específico. Indica qué atención se brinda y con qué objetivo.
187,2021-2,PUNTO_COVID,PURPOSE,Es para el COVID.,INSTRUCTIONS,DEFICIENT_RESPONSE,Incompleto. Explica qué se hace en el punto y para qué.
188,2021-2,PUNTO_COVID,PURPOSE,Se usa para hacer pruebas.,INSTRUCTIONS,DEFICIENT_RESPONSE,"Falta contexto y propósito completo: detección, control y orientación."
189,2021-2,PUNTO_COVID,PURPOSE,Es un sitio de pruebas.,INSTRUCTIONS,DEFICIENT_RESPONSE,"Describe, pero no explica el propósito y el beneficio del sistema."
190,2021-2,PUNTO_COVID,PURPOSE,Ayuda a la pandemia.,INSTRUCTIONS,DEFICIENT_RESPONSE,"Muy general. Indica cómo ayuda: detectar, registrar y orientar."
191,2021-2,PUNTO_COVID,PURPOSE,Es para revisar personas.,INSTRUCTIONS,DEFICIENT_RESPONSE,Ambiguo. Explica qué se revisa y cuál es el objetivo del proceso.
192,2021-2,PUNTO_COVID,PURPOSE,Sirve para controlar.,INSTRUCTIONS,DEFICIENT_RESPONSE,No se entiende qué controla. Redacta el propósito de forma completa.
193,2021-2,PUNTO_COVID,INTERACTIONS,"Las personas llegan, se registran, se les toma muestra o se les realiza la prueba y reciben indicaciones o resultados.",OK,OK,
194,2021-2,PUNTO_COVID,INTERACTIONS,"El usuario se registra, responde preguntas, se toma la prueba y luego recibe el resultado o seguimiento según el caso.",OK,OK,
195,2021-2,PUNTO_COVID,INTERACTIONS,"Los pacientes hacen fila, entregan datos, reciben la prueba y esperan el resultado siguiendo el protocolo.",OK,OK,
196,2021-2,PUNTO_COVID,INTERACTIONS,"Se valida la identidad, se realiza el procedimiento de prueba y se registra el resultado en el sistema.",OK,OK,
197,2021-2,PUNTO_COVID,INTERACTIONS,"Las personas llegan, se atienden y reciben indicaciones.",OK,OK,
198,2021-2,PUNTO_COVID,INTERACTIONS,"El personal registra al paciente, realiza la prueba y comunica el resultado según el proceso definido.",OK,OK,
199,2021-2,PUNTO_COVID,INTERACTIONS,Las personas van al punto covid.,INSTRUCTIONS,DEFICIENT_RESPONSE,"Muy general. Describe el flujo: registro, evaluación, prueba, resultado."
200,2021-2,PUNTO_COVID,INTERACTIONS,Se hacen pruebas.,INSTRUCTIONS,DEFICIENT_RESPONSE,Incompleto. Explica cómo se registra al usuario y cómo recibe el resultado.
201,2021-2,PUNTO_COVID,INTERACTIONS,La gente llega y ya.,INSTRUCTIONS,DEFICIENT_RESPONSE,Falta describir acciones concretas del usuario y del personal.
202,2021-2,PUNTO_COVID,INTERACTIONS,El sistema atiende.,INSTRUCTIONS,DEFICIENT_RESPONSE,No describe interacciones específicas ni pasos del proceso.
203,2021-2,PUNTO_COVID,INTERACTIONS,Las personas se revisan.,INSTRUCTIONS,DEFICIENT_RESPONSE,"Vago. Indica qué se hace: registro, preguntas, prueba, resultados."
204,2021-2,PUNTO_COVID,INTERACTIONS,Se controla el COVID.,INSTRUCTIONS,DEFICIENT_RESPONSE,No explica el proceso de interacción. Describe las acciones del usuario.
205,2021-2,PUNTO_COVID,INTERACTIONS,Los usuarios esperan.,INSTRUCTIONS,DEFICIENT_RESPONSE,Incompleto. Se requiere describir el flujo completo del servicio.
206,2021-2,PUNTO_COVID,INTERACTIONS,El personal hace su trabajo.,INSTRUCTIONS,DEFICIENT_RESPONSE,"No explica cómo interactúan usuario, registro, prueba y resultados."
207,2021-2,SALON,PURPOSE,Permitir el desarrollo de actividades de enseñanza y aprendizaje en un espacio organizado.,OK,OK,
1,2021-1,CONCIERTO_ESTADIO,PURPOSE,Crear intereses propios para la banda. Generar ganancias economicas. Generar empleo para las personas que colaboran en el estadio. Dar un buen servicio para que los asistentes disfruten el show. Dar una buena presentacion para compartir musica y disfrutar de ella.,OK,OK,
2,2021-1,CONCIERTO_ESTADIO,PURPOSE,"servir como medio de entretenimiento en vivo masivo, donde por medio de música y artistas  musicales hacen un show para que la gente se entretenga",OK,OK,
3,2021-1,CONCIERTO_ESTADIO,INTERACTIONS,La banda toca los instrumentos para crear la musica,OK,OK,
4,2021-1,CONCIERTO_ESTADIO,INTERACTIONS,La banda se presenta en un estadio para tener mas admiradores,OK,OK,
5,2021-1,CONCIERTO_ESTADIO,INTERACTIONS,El estadio genera ingreso con mas personas,OK,OK,
6,2021-1,CONCIERTO_ESTADIO,INTERACTIONS,Los sistemas de audio deben estar funcionando correctamente para que puedan favorecer  a la gente y a la banda,OK,OK,
7,2021-1,CONCIERTO_ESTADIO,INTERACTIONS,El escenario debe ser amplio para que se puedan movilizar al actuar,OK,OK,
8,2021-1,SALON,PURPOSE,Ofrecer un servicio educativo a los estudiantes,OK,OK,
9,2021-1,SALON,PURPOSE,Favorecer a los estudiantes con una educación de alta calidad,OK,OK,
10,2021-1,SALON,PURPOSE,La enseñanza de la moral,INCOMPLETE,DEFICIENT_RESPONSE,"Esto no es el propósito general de un salón de clases,"
11,2021-1,SALON,PURPOSE,Satisfacer el tiempo del profesor,INCOMPLETE,DEFICIENT_RESPONSE,"Esta no es la razón por la cual uno va al salón de clase,"
12,2021-1,SALON,INTERACTIONS,El profesor le enseña a los estudiantes,OK,OK,
13,2021-1,SALON,INTERACTIONS,El profesor enseña la materia,OK,OK,
14,2021-1,SALON,INTERACTIONS,Los estudiantes siguen el horario,INCOMPLETE,DEFICIENT_RESPONSE,"El horario no es un componente esencial del sistema,"
15,2021-1,SALON,INTERACTIONS,Los estudiantes siguen las reglas,INCOMPLETE,DEFICIENT_RESPONSE,"Las reglas no son un parte necesaria para el funcionamiento del sistema,"
16,2021-2,DOMINO,PURPOSE,Juego de mesa para entretener,INSTRUCTION,DEFICIENT_RESPONSE,"Tratar de ser más detallado con la información. A quién le sirve este sistema o cómo afecta o influye en los componentes.,"
17,2021-2,DOMINO,INTERACTIONS,"Al inicio del juego, las fichas se mezclan y los participantes toman sus fichas. La partida comienza según el valor de las fichas de los jugadores. Los turnos se realizan en un orden establecido y cada jugador coloca fichas compatibles en la mesa. El juego finaliza cuando uno de los participantes logra colocar todas sus fichas.",OK,OK,
18,2021-2,ASCENSORES,PURPOSE,sistema que facilita la movilización del edificio,OK,OK,
19,2021-2,ASCENSORES,INTERACTIONS,las personas entran a la cabina donde presionan un botón en cuadro de mando luego se cierra el operador de puerta que hace parte esencial para el funcionamiento del ascensor luego el ascensor se pone en marcha (arriba o abajo) gracias a la interacción que tienen las partes para el funcionamiento del ascensor.,OK,OK,
20,2021-2,DOMINO,PURPOSE,"Brindar un espacio de diversion, en el cual varias personas puedan jugar, distraerse, y compartir  con sus amigos",OK,OK,
21,2021-1,DOMINO,INTERACTIONS,primero se inicia el juego ubicandose los jugadores en la mesa donde se encuentran las fichas listas para ser repartidas y acuerdan reglas,INSTRUCTION,DEFICIENT_RESPONSE,"La interaccion no describe claramente como interactuan todos los componentes del sistema.,"
22,2021-1,BIBLIOTECA,PURPOSE,lugar tranquilo con libros con fines academicos y de entretenimiento,OK,OK,
23,2021-1,BIBLIOTECA,INTERACTIONS,las personas buscan libros se ubican en mesas y solicitan prestamos,OK,OK,
24,2021-2,DOMINO,INTERACTIONS,"Se asigna un jugador que revuelva las fichas, cada jugador toma 7 fichas. Inicia la ronda el jugador que tenga la ficha con el doble mas alto. En caso de que ninguno tenga dobles, comenzara el que tenga la ficha mas alta. Los jugadores continua por turnos al contrario de las manecillas del reloj. Gana la persona que tire todas sus fichas.",OK,OK,
25,2021-2,PUNTO_COVID,PURPOSE,"Los jugadores empiezan escogiendo fichas aleatoriamente para despues empezar a juagr de acuerdo a los numeros de las mismas. Mientras avanza el juego, se ven diversas situaciones como la acción de ¿comer¿ que es añadir una ficha del montón si las que escogiste previamente no te permiten seguir jugando",OK,OK,"Podrías haber incluido más componentes.,"
26,2021-2,PUNTO_COVID,PURPOSE,"Vacunar de forma eficaz, ordenada, y segura, a las personas de un territorio determinado, con la vacuna contra el covid-19, la dosis que cada punto brinda para las personas, depende del tipo de vacuna que esten utilizando.",OK,OK,
